scented massage oil	ALL	0	0	0	none	none
extra-strength red potion	200	0	0	0	none	Healthy Red Glow
plaid bandage	135	0	0	0	none	none
red pixel potion	110	0	0	0	none	none
gauze garter	100	0	0	5	none	none
filthy poultice	100	0	0	5	none	none
red potion	95	0	0	0	none	Healthy Red Glow
green pixel potion	50	35	0	0	none	none
cartoon heart	50	0	0	0	none	Healthy Red Glow
Texas tea	30	30	0	0	none	Texas Elegance
Doc Galaktik's Homeopathic Elixir	19	0	0	0	none	none
cast	15	0	0	0	none	none
Doc Galaktik's Restorative Balm	14	0	0	0	none	none
Doc Galaktik's Ailment Ointment	9	0	0	0	none	none
forest tears	7	0	0	0	Beaten Up	none
Doc Galaktik's Pungent Unguent	4	0	0	0	none	none
palm-frond fan	40	40	0	0	none	none
Cloaca-Cola	0	12	0	0	none	none
scroll of drastic healing	100000	0	0	0	none	none
warm El Vibrato drone	ALL	0	0	0	none	Well-preserved
Camp Scout pup tent	1000	0	0	0	none	none
really thick bandage	110	0	0	0	none	none
bottle of Vangoghbitussin	100	100	0	0	none	The 'Tussin
ancient turtle shell powder	90	0	0	0	none	none
cotton candy bale	61	61	0	0	none	none
ancient Magi-Wipes	55	55	0	0	none	none
cotton candy pillow	51	51	0	0	none	none
phonics down	48	48	0	0	none	Tingly Wrists,Tingly Biceps,Tingly Elbows
cotton candy cone	39	39	0	0	none	none
honey-dipped locust	35	35	0	0	none	none
cotton candy plug	28	28	0	0	none	none
comfy pillow	25	0	0	0	none	none
cotton candy skoshe	22	22	0	0	none	none
tiny house	22	22	0	0	Beaten Up,Confused,Embarrassed,Hardly Poisoned at All,Sleepy,Sunburned,Wussiness	none
cotton candy smidgen	17	17	0	0	none	none
dueling turtle	15	15	0	0	none	none
sugar shard	15	7	0	0	none	none
cotton candy pinch	11	11	0	0	none	none
pixellated candy heart	4	0	0	0	none	none
your own black heart	ALL	ALL	0	0	Beaten Up	none
Egnaro berry	0	HALF	0	0	none	Berry Experiential
CSA all purpose soap	0	1000	0	0	All Negative	none
Wolfman Nardz	0	250	0	0	none	none
high pressure seltzer bottle	0	175	0	0	none	none
Cloaca Cola Polar	0	150	0	0	none	Polar Express
natural fennel soda	0	100	0	0	none	none
can of CRIMBCOLA	0	90	0	0	none	none
Monstar energy beverage	0	75	0	0	none	none
carbonated soy milk	0	75	0	0	none	none
carbonated water lily	0	65	0	0	none	none
blue pixel potion	0	65	0	0	none	none
Nardz energy beverage	0	60	0	0	none	none
bottle of Monsieur Bubble	0	55	0	0	none	none
unrefined Mountain Stream syrup	0	55	0	0	none	none
banana spritzer	0	70	0	0	none	none
elven magi pack	0	45	0	0	none	none
myrrh soaked\, chocolate covered bacon bath ball	0	37	0	0	none	Pork Power,[800]Chocolate Reign,Incensed
creepy ginger ale	0	40	0	0	none	none
grogpagne	0	40	0	0	none	none
tonic water	0	40	0	0	none	none
Marquis de Poivre soda	0	35	0	0	none	none
Mountain Stream soda	0	35	0	0	none	none
Knob Goblin superseltzer	0	27	0	0	none	none
Blatantly Canadian	0	27	0	0	none	none
beer scented teddy bear	0	17	0	0	none	none
Knob Goblin seltzer	0	10	0	0	none	none
black cherry soda	0	10	0	0	none	none
Doc Galaktik\'s Invigorating Tonic	0	10	0	0	none	none
Cherry Cloaca Cola	0	8	0	0	none	none
Diet Cloaca Cola	0	8	0	0	none	none
Regular Cloaca Cola	0	8	0	0	none	none
natto marble soda	0	7	0	0	none	none
tobiko marble soda	0	7	0	0	none	none
wasabi marble soda	0	7	0	0	none	none
soda water	0	4	0	0	none	none
Wint-O-Fresh mint	0	4	0	0	none	none
magical mystery juice	0	scaling	0	0	none	none
generic mana potion	0	scaling	0	0	none	none
Psychokinetic Energy Blob	0	25	0	0	none	none
## Actually Ed the Undying restores
Holy Spring Water	0	50	0	0	none	Spiritually Awake
Spirit Beer	0	90	0	0	none	Spiritually Aware
Sacramental Wine	0	180	0	0	none	Spiritually Awash
